Identifier,Label,Status,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Level 1,Level 2,Mapping type,Mapped identifier,Mapped label,Mapped status,Mapped type
122,Business support,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,,,,,,,,,
85,Business premises,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1618,Business centres,Live,Service
85,Business premises,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,93,Commercial lettings,Live,Service
85,Business premises,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,900,Commercial property development,Live,Service
85,Business premises,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,677,Vacant land and property,Live,Service
88,Clean streets,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108|122,Good living environment|Business support,Business support,,is addressed by,372,Abandoned vehicles,Live,Service
88,Clean streets,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108|122,Good living environment|Business support,Business support,,is addressed by,1172,Analytical chemist registration,Live,Service
88,Clean streets,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108|122,Good living environment|Business support,Business support,,is addressed by,518,Commercial waste spillage,Live,Service
88,Clean streets,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108|122,Good living environment|Business support,Business support,,is addressed by,576,Dead animal removal,Live,Service
88,Clean streets,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108|122,Good living environment|Business support,Business support,,is addressed by,1094,Dog  waste bins,Live,Service
88,Clean streets,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108|122,Good living environment|Business support,Business support,,is addressed by,577,Dog fouling,Live,Service
88,Clean streets,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108|122,Good living environment|Business support,Business support,,is addressed by,588,Flyposting,Live,Service
88,Clean streets,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108|122,Good living environment|Business support,Business support,,is addressed by,587,Flytipping,Live,Service
88,Clean streets,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108|122,Good living environment|Business support,Business support,,is addressed by,584,Graffiti removal,Live,Service
88,Clean streets,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108|122,Good living environment|Business support,Business support,,is addressed by,1473,Household waste accumulation,Live,Service
88,Clean streets,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108|122,Good living environment|Business support,Business support,,is addressed by,581,Litter bins,Live,Service
