Identifier,Label,Status,Description,Created,Modified,History notes,Type
1614,16 to 19 bursary fund,Live,"Those aged between 16 and 19 years who think they might struggle with the costs for full-time education or training, may be eligible for a bursary.",2013-04-03,2019-01-25,Added in version 4.00.,Service
1512,Abandoned bicycles,Live,"Bicycles which appear to have been abandoned in public areas, including designated cycle parking, may be removed.  In most cases bicycles are kept for some time after removal so that owners can reclaim them.",2010-10-14,2010-10-14,Added scope notes in version 3.11.,Service
1152,Abandoned shopping trolleys,Live,"Abandoned shopping trolleys have a negative impact on the quality of the local environment and can be hazardous to pedestrians, cyclists and road users.  Local Authorities are permitted to seize, store and dispose of abandoned shopping trolleys within their area.",2013-04-03,2013-04-03,Added in version 3.05.,Service
372,Abandoned vehicles,Live,The local council will deal with any vehicles reported as abandoned on local roads or property (usually including private property). The vehicle will be removed.,2013-04-03,2013-04-03,"Added scope notes in version 2.02, updated in version 3.06. Term name changed from 'Abandoned vehicles' to 'Vehicles - abandoned - reporting and procedures' in version 3.00. Name changed to 'Abandoned vehicles' in version 4.00.",Service
785,Abnormal load notification,Live,A haulier who intend to move an abnormal load such as gross weight exceeding 40 tonnes or more must notify and gain consent from the police or the local authority..,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Abnormal loads' to 'Transport - abnormal loads - notification' in version 3.00. Name changed to 'Abnormal load notification' in version 4.00.,Service
1466,Accessibility of local facilities,Live,"Information on the accessibility of spaces and buildings available to the public such as shops, theatres, leisure centres, parks, transport facilties  etc. in the local area

 In the UK this information is often provided in conjunction with DisabledGo.",2013-03-04,2019-05-16,Description updated in April 2020 review,Service
853,Accessibility of Web sites,Live,The local authority is expected to provide information via its web site in a way which is accessible to all citizens and to advise citizens of the steps it has taken to meet the required government standards on accessibility,2013-04-03,2019-05-16,Added scope notes in version 2.02. Term name changed from 'Internet service standards' to 'Council websites - accessibility' in version 3.00. name changed to 'Accessibility of Web sites' in version 4.00.,Service
429,Accident reporting,Live,"Employers have a duty to report certain dangerous occurrences and accidents at work to the Local Authority who will investigate any incidents. The outcome of these enquiries usually involves the giving of advice to the employer. If a blatant breach of requirements is identified as the main reason for an accident happening, then formal action will be taken.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Accidents' to 'Safety - health and safety - accident reporting' in version 3.00. Name changed to 'Accident reporting' in version 4.00.,Service
650,Accommodation certificates,Live,"The certificate shows that a property is considered to provide a safe and healthy environment for the occupants and that the property satisfies overcrowding standards. Anyone requiring a visa application to enter and to reside in the UK with relatives, on a permanent or semi-permanent basis, will need the certificate.",2013-04-03,2019-01-25,Added scope notes in version 2.02. Scope notes changed in version 3.00 to include Scottish terminology. Term name changed from 'Accommodation certificates (fitness for human habitation)' to 'Housing - accommodation certificates - fitness for human habitation' in version 3.00. Name changed to 'Accommodation certificates' in version 4.00. Description updated 25/01/2019.,Service
642,Activities for children and young people,Live,"Information about sporting, cultural and social activities in the local area for children and young people.  Activities may be available on a drop-in basis or may require a regular commitment.",2013-03-04,2013-04-03,Label and description modified to include other assistance in April 2020,Service
640,Activities for older people,Live,"Provision of leisure activities for older people within the community. This may include cultural, sporting and other organised social activities.",2013-04-03,2019-01-25,Added scope notes in version 2.02. Name changed to 'Older people's activities' in version 4.00. Name changed to 'Activities for older people' 25/01/2019,Service
1163,Actuary registration,Live,In order to work as an actuary in the UK you need to be a member of the Faculty and Institute of Actuaries.,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Actuary registration' in version 4.00.,Service
681,Acupuncturist registration,Live,All persons that carry out acupuncture are required to be registered with the local authority. Officers will visit the premises to ensure they comply with the requirements of all relevant legislation.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Licence - acupuncturist' to 'Licences - acupuncturist' in version 3.00. Term name changed from 'Licences - acupuncturist' to 'Registration - acupuncturist' in version 3.03. Name changed to 'Acupuncturist registration' in version 4.00.,Service
1421,Address allocation,Live,Allocation of an address (number or name) to a new property.,2013-04-03,2013-04-03,Added in version 3.09.,Service
160,Adoption,Live,The local authority attempts to find adoptive homes for children who are no longer able to live in their own homes.  The authority reviews applications from prospective adoptive parents to assess suitability.  Ongoing support is provided for adopted children and their new families.,2013-04-03,2013-04-03,Term name changed from 'Adopting' to 'Adoption' and scope notes added in version 2.02. Term name changed from 'Adoption' to 'Social services - adoptive homes' in version 3.00. Name changed to 'Adoption' in version 4.00.,Service
1359,Adoption of municipal land,Live,"Certain public land may be adopted by the local community who undertake to maintain the land in accordance with standards agreed at the time of the adoption.  There are likely to be regulations regarding the use of the land, erection of buildings and any other activities which may change the character of the public space.",2013-04-03,2013-04-03,Added in version 3.09. Name changed to 'Adoption of municipal land' and scope notes updated in version 4.00.,Service
1309,Adoption support agency registration,Live,"""Private organisations and individuals offering adoption support services must be registered with the relevant authority.
In the UK registrations are administered by Ofsted.""@en",2013-04-03,2013-04-03,Added in version 3.09. Name changed to 'Adoption support agency registration' in version 4.00.,Service
1757,Adult care plan,Live,Following a social care assessment the council will work with any adult who has social care needs to create a care plan which will detail how any eligible needs are to be met.  The plan may also suggest ways of meeting needs for which the individual is not eligible to receive help from the council.,2015-06-22,2015-06-22,,Service
225,Adult carers advice and support,Live,"Provision of advice and support for adult carers who care for the elderly, children with special needs and adults with physical or learning disabilities. Carers may be entitled to receive additional help and support for their own needs from the local authority.",2013-04-03,2019-01-25,Added scope notes in version 2.02. Term name changed from 'Adult carers' to 'Carers - adult' in version 3.00. Name changed to 'Adult carers' in version 4.00. Name changed to 'Adult carers advice and support' 25/01/2019.,Service
1263,Adult day care registration,Live,Anyone wishing to run an adult day care service is required to be registered,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Adult day care registration' in version 4.00.,Service
27,Adult education and learning,Live,"Provision of ddult learning opportunities which can increase skills to support learners into work, enable attendees to gain qualifications, help attendees to meet new friends or simply find new hobbies or interests.  Courses may be available full time, part time or online.",2013-03-04,2013-04-03,Label and description modified to include other assistance in April 2020,Service
293,Adult hospice care,Live,Provision of information about hospices in the area for terminally ill people and their carers.,2013-04-03,2013-04-03,Term name changed from 'Hospice care' to 'Hospice care (excludes children)' and scope notes added in version 2.02. Term name changed from 'Hospice care (excludes children)' to 'Social services - hospice care - adults' in version 3.00. Name changed to 'Adult hospice care' in version 4.00.,Service
1121,Adult placement,Live,The Adult Placement Scheme helps approved Adult Placement Carers (ordinary people from the local community) to share their home and time with someone in need. It is similar to fostering but for adults.,2013-04-03,2013-04-03,Name changed to 'Adult placement' in version 4.00.,Service
